TABELA DE SIMBOLOS - "gram01.grm-NFA.lda"

+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  44 | tk_IDEN                        | itens_10008             | ( 69,  8) ( 72,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  45 | tk_CADEIA                      | "a_state_10008_item_.*" | ( 69, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  46 | tk_CADEIA                      | "state_10008"           | ( 70,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  47 | tk_CADEIA                      | "a_state_10008_title"   | ( 71,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  48 | tk_CADEIA                      | "a_state_10008_item_1"  | ( 74,  8) ( 75,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  49 | tk_CADEIA                      | "trans_10"              | ( 77,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  50 | tk_IDEN                        | itens_10009             | ( 79,  8) ( 82,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|  51 | tk_CADEIA                      | "a_state_10009_item_.*" | ( 79, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  52 | tk_CADEIA                      | "state_10009"           | ( 80,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  53 | tk_CADEIA                      | "a_state_10009_title"   | ( 81,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  54 | tk_CADEIA                      | "trans_11"              | ( 84,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  55 | tk_CADEIA                      | "trans_12"              | ( 86,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
